Titel,Jahr,Ort,Schwerpunkt,VeranstalterInstitut,VerstanstalterStandort,Sponsor,SponsorStandort,SponsorBetrag,VortragThema,VortragTeam,VortragTeamleiter,VortragInstitut,VortragStandort
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Green Energy Partners,Dänemark,75000,Meeresenergie als zukünftige Quelle für Stromgewinnung,Erneuerbare Energien,Dr. Tobias Fischer,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",Social Innovation Fund,Niederlande,100000,Deep Learning für die Verbesserung der Gesundheitsversorgung,Maschinelles Lernen,Prof. Dr. Robert Vogel,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",Social Innovation Fund,Niederlande,100000,Ethische Fragestellungen bei der Implementierung von Robotern im Pflegebereich,Robotik und Automatisierung,Dr. Jana Richter,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",Social Innovation Fund,Niederlande,100000,Verantwortung von KI-Entwicklern in der Medizin,Ethik der KI,Dr. Markus Hahn,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",Social Innovation Fund,Niederlande,100000,Einsatz von Robotern zur Reduktion der Arbeitsbelastung,Robotik und Automatisierung,Dr. Jana Richter,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",Social Innovation Fund,Niederlande,100000,Maschinelles Lernen für die Optimierung von Lieferketten,Maschinelles Lernen,Prof. Dr. Robert Vogel,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Quantum Leap Technologies,USA,25000,Mikroben im All und ihre Überlebensfähigkeit,Astrobiologie,Prof. Dr. Nicole Berger,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Quantum Leap Technologies,USA,25000,Suchen nach erdähnlichen Planeten in der Andromeda-Galaxie,Exoplanetenforschung,Dr. Christian Hartmann,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Quantum Leap Technologies,USA,25000,Neue Ansätze in der Dunklen Materie Forschung,Kosmologie und Dunkle Materie,Dr. Florian Mayer,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Quantum Leap Technologies,USA,25000,Leben auf Titan: Eine Zukunftsvision,Exoplanetenforschung,Dr. Christian Hartmann,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Quantum Leap Technologies,USA,25000,Erfolgreiche Entwicklung eines extraterrestrischen Lebensmodells,Astrobiologie,Prof. Dr. Nicole Berger,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Social Innovation Fund,Niederlande,35000,Globaler Vergleich von Klimaschutzmaßnahmen,Umweltpolitik,Prof. Dr. Claudia Bauer,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Social Innovation Fund,Niederlande,35000,Innovationen im Abfallmanagement und Recycling,Nachhaltige Ressourcen,Dr. Fabian Keller,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Social Innovation Fund,Niederlande,35000,Verhinderung des Verlusts von Biodiversität durch urbane Expansion,Ökosystemmanagement,Dr. Sarah Jung,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Social Innovation Fund,Niederlande,35000,Nachhaltige Landwirtschaft als Lösung für den Klimawandel,Umweltpolitik,Prof. Dr. Claudia Bauer,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Social Innovation Fund,Niederlande,35000,Wassermanagement zur Reduktion von Wasserknappheit,Nachhaltige Ressourcen,Dr. Fabian Keller,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",AI Ethics Consortium,Deutschland,120000,Technologische Lösungen zur Bekämpfung von Armut,Soziale Innovation,Dr. Andreas Brandt,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",AI Ethics Consortium,Deutschland,120000,Der Einfluss von Automatisierung auf die globalen Arbeitsmärkte,Zukunft der Arbeit,Prof. Dr. Hannah Fuchs,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",AI Ethics Consortium,Deutschland,120000,Technologische Disruptionen in Bildungssystemen,Technik und Gesellschaft,Dr. Markus Roth,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",AI Ethics Consortium,Deutschland,120000,Erfolgreiche Integration von digitalen Tools in den sozialen Sektor,Soziale Innovation,Dr. Andreas Brandt,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",AI Ethics Consortium,Deutschland,120000,Digitale Arbeitsplätze und ihre Auswirkungen auf die Generation Z,Zukunft der Arbeit,Prof. Dr. Hannah Fuchs,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Globale Gesundheit und Infektionskrankheiten,2025,München,Tropenkrankheiten und Gesundheitsprävention,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland",AI Ethics Consortium,Deutschland,20000,Neue Virusvarianten und ihre Ausbreitungsmuster,Infektionsbiologie,Dr. Clara Schulz,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland"
Globale Gesundheit und Infektionskrankheiten,2025,München,Tropenkrankheiten und Gesundheitsprävention,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland",AI Ethics Consortium,Deutschland,20000,Die Rolle von Impfungen im Kampf gegen Epidemien,Global Health,Dr. Paul Reiter,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland"
Globale Gesundheit und Infektionskrankheiten,2025,München,Tropenkrankheiten und Gesundheitsprävention,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland",AI Ethics Consortium,Deutschland,20000,Immunantworten auf neue Virusmutationen,Infektionsbiologie,Dr. Clara Schulz,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Green Energy Partners,Dänemark,60000,Wissenschaftliche Modelle zur Bekämpfung von Sturzfluten,Klimadynamik,Dr. Anna Müller,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Green Energy Partners,Dänemark,60000,Zusammenhang zwischen Meeresströmungen und Klimawandel,Atmosphärische Modellierung,Prof. Dr. Michael Schmidt,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Green Energy Partners,Dänemark,60000,Korrelation von Klimadaten mit landwirtschaftlichen Erträgen,Klimadatenanalyse,Dr. Julia Wagner,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Green Energy Partners,Dänemark,60000,Entwicklung von Frühwarnsystemen für Naturkatastrophen,Klimadynamik,Dr. Anna Müller,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Green Energy Partners,Dänemark,60000,Voraussagen für den globalen Meeresspiegelanstieg,Atmosphärische Modellierung,Prof. Dr. Michael Schmidt,Institut für Klimaforschung,"Potsdam, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,Genetische Grundlagen von Autoimmunerkrankungen,Genomforschung,Dr. Lisa Hoffmann,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,Geneditierung zur Heilung von Erbkrankheiten,Biotechnologie,Dr. Thomas Becker,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,Fortschritte in der Immuntherapie,Zelltherapie,Prof. Dr. Peter Krause,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,Die Zukunft der CRISPR-Technologie in der Medizin,Zelltherapie,Prof. Dr. Peter Krause,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,Verborgene Potenziale der synthetischen Biologie,Biotechnologie,Dr. Thomas Becker,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Schutz von Korallenriffen in tropischen Regionen,Marine Biodiversität,Dr. Katharina Schulz,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Interaktion von Fischen und Mikroorganismen im Ozean,Aquatische Ökosysteme,Dr. Stefan Lehmann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Aufbau von Widerstandsfähigkeit gegen Sturmfluten,Küstenschutz und Erosionsforschung,Prof. Dr. Andreas Neumann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Sichere Maßnahmen zur Vermeidung von Küstenschäden,Küstenschutz und Erosionsforschung,Prof. Dr. Andreas Neumann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Biodiversitätsverluste und ihre Folgen für das Ökosystem,Marine Biodiversität,Dr. Katharina Schulz,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Green Energy Partners,Dänemark,60000,Untersuchung von Wettermustern in verschiedenen Klimazonen,Klimadynamik,Dr. Anna Müller,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Green Energy Partners,Dänemark,60000,Einfluss von Aerosolen auf das Wetter,Atmosphärische Modellierung,Prof. Dr. Michael Schmidt,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Green Energy Partners,Dänemark,60000,Langfristige Veränderungen in der globalen Temperatur,Klimadatenanalyse,Dr. Julia Wagner,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Green Energy Partners,Dänemark,60000,Modelle zur Abschwächung von Extremwetterereignissen,Atmosphärische Modellierung,Prof. Dr. Michael Schmidt,Institut für Klimaforschung,"Potsdam, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,CRISPR-Technologie in der personalisierten Medizin,Biotechnologie,Dr. Thomas Becker,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,Ethische Implikationen der Genomveränderung,Genomforschung,Dr. Lisa Hoffmann,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,Revolution der Zelltherapien bei Krebsbehandlungen,Zelltherapie,Prof. Dr. Peter Krause,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,Genetische Zelltherapien für seltene Krankheiten,Zelltherapie,Prof. Dr. Peter Krause,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,Neue Entdeckungen im Bereich der regenerativen Medizin,Biotechnologie,Dr. Thomas Becker,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Innovative Materialien im Küstenschutz,Küstenschutz und Erosionsforschung,Prof. Dr. Andreas Neumann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Auswirkungen des Klimawandels auf die Meeresbiodiversität,Marine Biodiversität,Dr. Katharina Schulz,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Erhalt von Mangroven und Korallenriffen,Aquatische Ökosysteme,Dr. Stefan Lehmann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Modellierung von Küstenerosion und Schutzstrategien,Küstenschutz und Erosionsforschung,Prof. Dr. Andreas Neumann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Einfluss von Mikroplastik auf die marinen Lebensräume,Marine Biodiversität,Dr. Katharina Schulz,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",Social Innovation Fund,Niederlande,12000,Neue Perspektiven in der Quantenverschlüsselung,Quantencomputing,Dr. Lara Meier,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
